branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
4257,5325494,38962,3,2,32,5,Regular,cluster_2
4277,4495020,36960,3,2,32,5,Regular,cluster_2
4280,18242560,35774,2,4,24,6,Loyal,cluster_1
4289,504622,36478,3,1,31,4,Regular,cluster_2
4318,3101514,30031,1,1,11,2,Churned,cluster_2
4345,2768759,31560,1,1,11,2,Churned,cluster_2
4349,14992781,38155,3,4,34,7,Loyal,cluster_2
4403,9786997,34914,2,3,23,5,Regular,cluster_2
4424,35329163,54450,4,4,44,8,Premium,cluster_1
4435,221,55,1,1,11,2,Churned,cluster_0
4471,4282871,31329,1,2,12,3,Churned,cluster_2
4473,3734778,28560,1,2,12,3,Churned,cluster_2
4494,5646223,34902,2,2,22,4,Regular,cluster_2
4496,6752181,37051,3,3,33,6,Loyal,cluster_2
4513,23011893,53865,4,4,44,8,Premium,cluster_1
4537,4246814,30096,1,2,12,3,Churned,cluster_2
4552,5500320,29920,1,2,12,3,Churned,cluster_2
4561,4608240,35309,2,2,22,4,Regular,cluster_2
4587,1013,336,1,1,11,2,Churned,cluster_0
4603,15996599,42640,4,4,44,8,Premium,cluster_1
4607,4184097,28875,1,2,12,3,Churned,cluster_2
4611,21637636,57267,4,4,44,8,Premium,cluster_1
4613,22894924,54270,4,4,44,8,Premium,cluster_1
4683,9335297,47971,4,3,43,7,Loyal,cluster_2
4701,7325046,40880,4,3,43,7,Loyal,cluster_2
4717,4737182,35008,2,2,22,4,Regular,cluster_2
4741,7384222,33240,2,3,23,5,Regular,cluster_2
4747,10535781,47175,4,4,44,8,Premium,cluster_2
4772,194508,11092,1,1,11,2,Churned,cluster_0
4775,582629,39897,3,1,31,4,Regular,cluster_2
4776,3917452,33705,2,2,22,4,Regular,cluster_2
4781,13758184,43128,4,4,44,8,Premium,cluster_2
4828,119067,18632,1,1,11,2,Churned,cluster_0
4835,4354334,39216,3,2,32,5,Regular,cluster_2
